학교종류명,설립구분,학교명,남녀공학구분명,고등학교구분명,도로명주소,도로명상세주소
각종학교(고),사립,지구촌학교 고등학교,남여공학,,서울특별시 구로구 오리로 1189,"(오류동, 금강프라자)"
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,미림마이스터고등학교,남여공학,특목고,서울특별시 관악구 호암로 546,미림마이스터고등학교
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
고등학교,사립,염광메디텍고등학교,남여공학,특성화고,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)"
